name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,selling_price
BMW,2019,15000,Petrol,Individual,Manual,First Owner,23.95,998,67.1,5,366000
Honda,2019,5000,Petrol,Individual,Manual,First Owner,17,1591,121.3,5,1149000
BMW,2016,42000,Petrol,Individual,Manual,First Owner,20.63,1198,67,5,150000
Ford,2011,60000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.03,7,425000
Toyota,2012,76000,Petrol,Individual,Manual,First Owner,16.1,796,37,4,150000
Nissan,2019,5000,Petrol,Individual,Automatic,First Owner,16,1368,160.77,5,2100000
Ford,2018,28900,Petrol,Dealer,Manual,First Owner,17.8,1497,117.3,5,925000
Toyota,2013,86300,Petrol,Dealer,Manual,First Owner,16.8,1497,116.3,5,425000
Toyota,2018,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197,83.14,5,675000
BMW,2018,32600,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,5,819999
Ford,2018,10300,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,5,390000
Nissan,2014,77000,Diesel,Dealer,Manual,First Owner,12.55,2982,168.5,7,1500000
BMW,2013,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100,7,700000
Honda,2014,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143,120.7,5,1450000
Toyota,2015,49800,Diesel,Dealer,Manual,First Owner,24.7,1498,98.63,5,425000
Ford,2013,151000,Diesel,Dealer,Manual,First Owner,13.5,2477,175.56,7,1090000
Nissan,2015,54700,Diesel,Dealer,Manual,First Owner,26,1498,98.6,5,600000
Toyota,2018,64000,Petrol,Dealer,Manual,First Owner,20.65,1462,103.25,5,850000
Toyota,2015,63000,Diesel,Dealer,Manual,First Owner,27.3,1498,98.6,5,525000
Ford,2016,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,7,1650000
Toyota,2016,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.6,7,950000
Honda,2013,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968,174.33,5,1750000
BMW,2018,25000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,5,1590000
BMW,2013,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968,187.74,5,1689999
Nissan,2013,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143,170,5,1425000
Honda,2011,120000,Diesel,Individual,Manual,First Owner,21.12,1248,88.8,5,265000
Ford,2011,110000,Petrol,Individual,Manual,Third Owner,20.36,1197,78.9,5,190000
Ford,2013,60000,Diesel,Individual,Manual,First Owner,21.27,1396,88.76,5,425000
Ford,2015,147000,Diesel,Individual,Manual,Second Owner,26.59,1248,74,5,630000
BMW,2017,25000,Petrol,Individual,Manual,Third Owner,18.16,1196,86.8,5,600000
Honda,2019,30000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5,650000
Nissan,2016,40000,Diesel,Individual,Manual,First Owner,22,1498,108.495,5,540000
Ford,2015,135000,Diesel,Individual,Manual,First Owner,25.1,1498,98.6,5,630000
BMW,2018,30000,Petrol,Individual,Automatic,First Owner,20.51,998,67,5,448000
Honda,2017,80000,Diesel,Individual,Manual,First Owner,21.66,1498,108.62,5,500000
BMW,2016,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,745000
BMW,2019,9850,Diesel,Individual,Automatic,First Owner,24.3,1248,88.5,5,1025000
Honda,2011,60000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5,235000
Honda,2016,70000,Diesel,Individual,Manual,First Owner,25.2,1248,74,5,630000
Nissan,2015,78000,Diesel,Individual,Manual,Second Owner,12.55,2982,168.5,7,1700000
BMW,2013,120000,Diesel,Individual,Manual,Second Owner,22.9,1248,74,5,450000
Nissan,2012,120000,Petrol,Individual,Manual,Second Owner,16.02,1373,93.7,7,450000
BMW,2003,70000,Diesel,Individual,Manual,First Owner,,,,,50000
Honda,2013,170000,Diesel,Individual,Manual,First Owner,20.54,1598,103.6,5,450000
Ford,2016,140000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,8,1200000
Honda,2015,90000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5,610000
Nissan,2016,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998,189,5,2500000
Toyota,2017,10000,Petrol,Dealer,Manual,First Owner,23.1,998,67.04,5,484999
Nissan,2016,49000,Petrol,Dealer,Manual,First Owner,19.02,1198,67.05,5,275000
Honda,2016,32000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5,315000
BMW,2016,38000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5,275000
Honda,2015,78000,Diesel,Dealer,Manual,First Owner,,,,,475000
Toyota,2012,28000,Petrol,Dealer,Manual,First Owner,19.81,1086,68.05,5,290000
Nissan,2017,32000,Petrol,Dealer,Manual,First Owner,14,796,35,5,280000
Toyota,2010,44000,LPG,Dealer,Manual,First Owner,26.2,998,58.2,5,225000
BMW,2015,42000,Petrol,Dealer,Manual,First Owner,16.47,1198,74,5,455000
BMW,2015,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086,68.05,5,351000
Ford,2012,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598,103.6,5,535000
BMW,2009,55500,Petrol,Dealer,Manual,First Owner,18.2,998,67.1,5,175000
BMW,2013,61500,Petrol,Dealer,Manual,First Owner,18.5,1197,82.85,5,525000
Toyota,2016,150000,Diesel,Individual,Manual,First Owner,26.59,1248,74,5,600000
Ford,2016,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197,82,5,565000
BMW,2008,68000,Petrol,Dealer,Manual,Third Owner,19.7,796,46.3,5,120000
Honda,2017,110000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,725000
Honda,2009,77000,Petrol,Dealer,Manual,Second Owner,21.79,998,67.05,5,185000
Toyota,2010,100000,Diesel,Individual,Manual,Second Owner,18.8,1248,90,5,200000
Toyota,2019,10000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5,615000
Nissan,2016,100000,Petrol,Individual,Manual,Third Owner,15.37,1196,73,7,270000
Nissan,2018,35000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5,610000
Ford,2014,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179,120,8,625000
Honda,2020,5000,Petrol,Individual,Manual,Second Owner,19,1194,94.68,5,400000
Honda,2017,37800,Petrol,Individual,Manual,First Owner,17,1591,121.3,5,866000
Nissan,2010,114000,Petrol,Individual,Manual,First Owner,14.3,1798,160,5,700000
Toyota,2010,48000,Petrol,Individual,Manual,First Owner,15.8,1172,65,5,300000
Ford,2019,32000,Diesel,Individual,Manual,First Owner,15.1,2179,155,7,1700000
Ford,2016,100000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5,375000
Nissan,2013,150000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,5,522000
Honda,2013,69000,Diesel,Individual,Manual,First Owner,21.9,1396,88.76,5,451999
Honda,2009,100000,Petrol,Individual,Manual,Second Owner,14.53,1798,138.1,5,300000
Ford,2020,13000,Petrol,Individual,Manual,First Owner,21.63,998,67.04,5,475000
Honda,2016,60000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,780000
Honda,2017,40000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,595000
Toyota,2017,35000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,440000
BMW,2010,120000,Diesel,Individual,Manual,Second Owner,,,,,300000
Nissan,2014,70000,Diesel,Individual,Manual,Third Owner,20.45,1461,83.8,5,400000
Honda,2016,50000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5,1140000
BMW,2017,76139,Diesel,Individual,Manual,First Owner,23,1498,98.96,5,850000
Honda,2012,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248,73.9,5,370000
BMW,2018,25000,Petrol,Individual,Manual,First Owner,23.01,999,67,5,350000
Nissan,2015,40000,Petrol,Individual,Manual,Second Owner,23.1,998,67.04,5,360000
BMW,2008,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5,105000
Honda,2013,90000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,7,625000
Honda,2009,80000,Petrol,Individual,Manual,Second Owner,17.92,1086,62.1,5,135000
Ford,2015,110000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,7,700000
Honda,2019,1303,Petrol,Dealer,Manual,First Owner,17.8,1198,86.7,5,690000
Nissan,2018,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968,188,5,3975000
Ford,2019,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,5,5150000
Ford,2017,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177,5,3200000
Ford,2017,17000,Petrol,Individual,Automatic,First Owner,9.5,3604,280,5,4100000
Nissan,2019,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999,148.31,7,4500000
Ford,2017,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987,254.79,5,6000000
BMW,2018,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995,187.74,5,3790000
Nissan,2017,27000,Diesel,Dealer,Automatic,First Owner,,,,,2150000
Honda,2019,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190,5,5800000
Toyota,2018,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798,177.46,5,1864999
Nissan,2016,35000,Diesel,Dealer,Automatic,First Owner,15,2143,204,5,2700000
Toyota,2019,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451,141,5,1750000
BMW,2017,41000,Petrol,Dealer,Automatic,First Owner,18,1497,117.6,5,795000
Toyota,2013,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,5,625000
Toyota,2018,22000,Diesel,Dealer,Automatic,First Owner,18,1969,190,5,3400000
Ford,2015,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967,241.4,7,2650000
Honda,2015,40000,Diesel,Dealer,Manual,First Owner,26.21,1248,88.5,5,535000
BMW,2017,47000,Diesel,Dealer,Automatic,First Owner,13.5,2987,282,5,5850000
Ford,2010,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497,150,5,975000
Ford,2016,49900,Petrol,Dealer,Manual,First Owner,16.3,1797,147.5,5,805000
BMW,2017,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999,177,5,2625000
Nissan,2018,11000,Petrol,Dealer,Manual,First Owner,17,1198,108.5,5,811000
Toyota,2011,49000,Petrol,Individual,Manual,First Owner,15.04,1598,103.6,5,375000
Nissan,2012,95000,Petrol,Individual,Manual,First Owner,16.3,1797,147.5,5,550000
Nissan,2016,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,5,645000
Nissan,2018,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991,183,5,2550000
Nissan,2014,46100,Petrol,Dealer,Manual,First Owner,16.02,1373,93.7,7,599000
BMW,2017,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991,181.04,5,2700000
BMW,2017,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497,116.3,5,875000
BMW,2019,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197,81.8,5,894999
Toyota,2011,11000,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,5,175000
BMW,2012,24300,Petrol,Dealer,Manual,First Owner,21.21,1197,81.8,5,340000
Honda,2016,42163,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,7,1525000
BMW,2018,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497,108.5,5,1025000
Nissan,2016,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995,190,5,2150000
Toyota,2016,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494,157.7,5,1900000
Honda,2016,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995,190,5,2900000
Honda,2009,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362,164.7,5,450000
Toyota,2016,20000,Petrol,Individual,Manual,First Owner,17.5,1373,91.1,7,850000
Ford,2017,30000,Petrol,Individual,Automatic,First Owner,42,1969,400,4,10000000
Nissan,2011,100000,Diesel,Individual,Manual,Second Owner,20.54,1598,103.6,5,300000
Nissan,2018,9500,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5,575000
Toyota,2011,120000,Diesel,Individual,Manual,First Owner,20,1399,68,5,160000
Ford,2015,36600,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,515000
Ford,2015,50000,Petrol,Individual,Automatic,Second Owner,20.51,998,67,5,390000
Ford,2016,14000,Petrol,Individual,Manual,Second Owner,18.6,1197,81.83,5,550000
Honda,1999,40000,Petrol,Individual,Manual,Second Owner,16.1,796,37,4,40000
BMW,2010,120000,Diesel,Individual,Manual,First Owner,21.1,1248,73.9,5,220000
Ford,2015,70000,Petrol,Individual,Manual,First Owner,18.9,1197,82,5,425000
BMW,2019,13000,Petrol,Individual,Manual,First Owner,19.44,999,75,5,480000
Honda,2014,60000,Petrol,Individual,Manual,Second Owner,18.9,1197,82,5,400000
Ford,2014,35000,Petrol,Individual,Manual,First Owner,19.1,1197,85.8,5,487000
Ford,2016,44000,Petrol,Individual,Manual,Second Owner,19.1,1197,82,5,386000
Honda,2005,120000,Petrol,Individual,Manual,Second Owner,13,1493,100,5,100000
Toyota,2010,60000,Diesel,Individual,Manual,First Owner,21.43,1364,87.2,5,300000
Toyota,2000,60000,Petrol,Individual,Manual,First Owner,18.5,796,53,5,100000
Toyota,2014,30000,Diesel,Individual,Manual,Second Owner,13,2982,168.5,7,1750000
BMW,2016,15000,Petrol,Individual,Manual,Second Owner,18.15,1198,82,6,450000
Ford,2017,90000,Diesel,Individual,Manual,First Owner,22.95,1248,74,5,490000
Nissan,2009,47000,Petrol,Individual,Manual,Second Owner,17,1497,118,5,345000
Nissan,2005,90000,Petrol,Individual,Manual,First Owner,17.3,993,60,5,85000
Nissan,2010,120600,Petrol,Individual,Manual,Second Owner,18.9,998,67.1,5,215000
Toyota,2010,100000,Petrol,Individual,Manual,Third Owner,16.2,1599,103.2,5,320000
Toyota,2016,60000,Petrol,Individual,Manual,Second Owner,20.85,1197,83.14,5,459999
Nissan,2005,86000,Petrol,Individual,Manual,First Owner,15.3,1341,83,5,65000
Honda,2020,5000,Petrol,Individual,Manual,First Owner,18.6,1197,81.86,5,720000
Ford,2017,37000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,5,800000
Honda,2019,14000,Petrol,Individual,Manual,First Owner,20.3,1199,84,5,520000
Nissan,2015,70000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7,580000
Ford,2012,120000,Diesel,Individual,Manual,First Owner,,,,,235000
BMW,2015,50000,Petrol,Individual,Manual,First Owner,17.4,1497,117.3,5,600000
BMW,2014,60000,Petrol,Individual,Manual,Second Owner,19.4,1198,86.8,5,290000
Honda,2016,50000,CNG,Individual,Manual,First Owner,26.6,998,58.16,5,360000
BMW,2017,50000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,550000
BMW,2013,70000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,5,375000
BMW,2003,90000,Petrol,Individual,Manual,Second Owner,,,,,40000
Honda,2018,35000,Petrol,Individual,Automatic,First Owner,20.51,998,67,5,420000
Honda,2017,20000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5,550000
Honda,2018,20000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5,270000
BMW,2018,7800,Petrol,Individual,Automatic,First Owner,22,1197,81.8,5,700000
Nissan,2017,20000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,500000
BMW,2019,15000,Diesel,Individual,Manual,First Owner,17.6,2179,147.94,7,1250000
Ford,2013,31377,Petrol,Individual,Manual,Second Owner,18.5,1197,82.85,5,320000
BMW,2018,50000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5,700000
Nissan,2015,60000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,290000
Ford,2012,100000,Petrol,Individual,Automatic,First Owner,14.53,1794,138.1,5,550000
BMW,2012,60000,Petrol,Individual,Manual,First Owner,19.4,1198,86.8,5,265000
Ford,2018,5000,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1,5,830000
BMW,2017,60000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7,800000
Toyota,2011,25000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,160000
Toyota,2018,30000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5,335000
Toyota,2017,80000,Petrol,Individual,Manual,Second Owner,20.63,1198,67,5,329000
Toyota,2017,75000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5,775000
Ford,2020,32000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5,524000
Nissan,2015,40000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5,245000
Honda,2012,93000,Petrol,Individual,Manual,Second Owner,17,1197,80,5,275000
Toyota,2018,60000,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,5,520000
Toyota,2008,120000,Petrol,Individual,Manual,Second Owner,,,,,130000
Nissan,2014,37000,Petrol,Individual,Manual,First Owner,16.95,1498,97.7,5,550000
Honda,2018,15000,Petrol,Individual,Manual,First Owner,17,1497,121.36,5,910000
Ford,2015,80000,Petrol,Individual,Manual,First Owner,19.49,1198,67.04,5,300000
Toyota,2016,140000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5,350000
BMW,2013,70000,Diesel,Individual,Manual,First Owner,12.83,2696,162,7,900000
Honda,2013,120000,Diesel,Individual,Manual,Second Owner,17.21,1493,100,7,300000
Toyota,2010,110000,Diesel,Individual,Manual,Second Owner,21.1,1248,73.9,5,250000
Honda,2017,37000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5,1100000
Ford,2016,44000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5,270000
Nissan,2015,80000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7,640000
Toyota,2015,125000,Diesel,Individual,Manual,First Owner,15.1,2179,140,7,650000
Nissan,2017,13500,Petrol,Individual,Manual,First Owner,15.37,1196,73,5,409999
Ford,2011,75000,Petrol,Individual,Manual,First Owner,17.92,1086,62.1,5,165000
Honda,2007,120000,Petrol,Individual,Manual,Second Owner,13.2,1495,94,5,80000
BMW,2012,120000,Diesel,Individual,Manual,First Owner,15.1,2179,140,7,535000
BMW,2013,70000,Diesel,Individual,Manual,First Owner,12.99,2494,100.57,7,700000
Honda,2013,70000,Diesel,Individual,Manual,First Owner,23.4,1248,74,5,550000
Nissan,2019,15000,Petrol,Individual,Automatic,First Owner,19,1199,88.76,5,680000
BMW,2009,53000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5,200000
BMW,2014,120000,Diesel,Individual,Manual,Second Owner,23.4,1248,74,5,500000
Ford,2016,70000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7,1000000
Ford,2008,120000,Petrol,Individual,Manual,Second Owner,14.2,1341,82.9,5,110000
Honda,2012,100000,Petrol,Individual,Manual,Second Owner,18.5,1197,80,5,320000
Ford,2005,110000,Diesel,Individual,Manual,Second Owner,,,,,75000
Toyota,2015,100000,Petrol,Individual,Manual,First Owner,20.4,1197,83.11,5,350000
Honda,2013,162500,Diesel,Individual,Manual,First Owner,19.4,1405,70,5,170000
Toyota,2017,39000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5,800000
Nissan,2017,75000,Diesel,Individual,Manual,First Owner,26.8,1248,74,5,500000
BMW,2017,50000,Diesel,Individual,Automatic,First Owner,17.6,2179,153.86,7,1380000
Honda,2019,40000,Diesel,Individual,Manual,First Owner,17.3,1497,121,8,1300000
Nissan,2013,92500,Diesel,Individual,Manual,First Owner,22.32,1582,126.3,5,530000
Ford,2012,158000,Diesel,Individual,Manual,First Owner,23.4,1248,74,5,360000
Toyota,2012,120000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5,310000
Nissan,2015,50000,Diesel,Individual,Manual,Second Owner,26,1498,98.6,5,725000
Honda,2012,110000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5,340000
Toyota,2017,2000,Diesel,Individual,Manual,Second Owner,25.4,1186,73.97,5,550000
Nissan,2011,181000,Diesel,Individual,Manual,Second Owner,11.5,2982,171,7,1150000
Nissan,2016,70000,Diesel,Individual,Manual,First Owner,27.28,1047,69,5,380000
Ford,2013,90000,Petrol,Individual,Automatic,Second Owner,17.97,1498,99.6,5,350000
Toyota,2019,2000,Petrol,Individual,Manual,First Owner,18.6,1197,81.86,5,610000
Nissan,2015,20000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5,525000
Toyota,2011,120000,Diesel,Individual,Manual,First Owner,12.8,2494,102,7,480000
BMW,2017,35000,Diesel,Individual,Manual,First Owner,16.55,2498,105,6,780000
BMW,2012,193000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5,320000
Ford,2014,80000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,375000
Honda,2019,40000,Petrol,Individual,Manual,First Owner,19.02,1198,67.05,5,300000
Ford,2015,70000,Diesel,Individual,Manual,Fourth & Above Owner,22.54,1396,88.73,5,500000
Honda,2011,122358,Diesel,Individual,Manual,First Owner,12.05,2179,120,9,404000
Toyota,2015,75000,Diesel,Individual,Manual,First Owner,14.07,2956,69.01,7,500000
Ford,2017,120000,Diesel,Individual,Manual,First Owner,27.28,1047,69,5,350000
BMW,2015,40000,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,5,380000
Nissan,2008,95200,Petrol,Individual,Manual,Third Owner,13.2,1495,94,5,114999
BMW,2014,33033,Petrol,Dealer,Manual,First Owner,19.4,1198,86.8,5,335000
BMW,2015,63063,Petrol,Dealer,Automatic,First Owner,18.9,1197,82,5,465000
Nissan,2012,60000,Diesel,Individual,Manual,First Owner,21.02,1248,88.76,5,290000
Ford,2005,45000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,110000
Honda,2011,80000,Diesel,Individual,Manual,Third Owner,11.57,2179,138.1,7,450000
Nissan,2009,170000,Diesel,Individual,Manual,Second Owner,13.6,2523,63,7,400000
BMW,2007,207890,Diesel,Individual,Manual,Second Owner,13.6,2523,63,7,210000
Nissan,2018,7976,Diesel,Individual,Automatic,First Owner,17.9,2143,170,5,4600000
Ford,2016,35000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8,220000
BMW,2017,35000,Petrol,Individual,Manual,First Owner,18.9,1197,82,5,450000
Toyota,2017,35000,Petrol,Individual,Manual,First Owner,18.9,1197,82,5,450000
Toyota,2013,50000,Petrol,Individual,Automatic,First Owner,16.95,1197,78.9,5,290000
Ford,2016,20000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5,520000
Ford,2011,20000,Petrol,Individual,Automatic,First Owner,16.95,1197,78.9,5,265000
Honda,2012,50000,Petrol,Individual,Manual,Second Owner,18.6,1197,85.8,5,330000
Ford,2012,50000,Petrol,Individual,Manual,Second Owner,18.6,1197,85.8,5,330000
Honda,2014,120000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7,509999
Toyota,2014,70000,Petrol,Individual,Manual,First Owner,17.1,1591,121.3,5,500000
Nissan,2015,50000,Petrol,Individual,Manual,First Owner,17.19,1197,81.86,5,525000
Honda,2019,16500,Petrol,Individual,Manual,First Owner,21.01,1197,81.8,5,675000
Ford,2010,70000,Petrol,Individual,Manual,First Owner,17,1197,80,5,300000
Ford,2005,99361,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5,90000
BMW,2017,25000,Diesel,Individual,Manual,First Owner,26.59,1248,74,5,650000
Ford,2014,70000,Petrol,Individual,Manual,Second Owner,19.1,1197,85.8,5,409000
BMW,2015,80000,Diesel,Individual,Manual,Second Owner,24,1120,70,5,395000
Toyota,2010,70000,Petrol,Individual,Manual,Second Owner,,,,,215000
BMW,2014,70000,Petrol,Individual,Manual,Second Owner,19.1,1197,85.8,5,400000
Ford,2012,60000,Petrol,Individual,Manual,Third Owner,18.6,1199,79.4,5,120000
Honda,2018,10000,Petrol,Individual,Automatic,First Owner,20.3,1199,84,5,645000
BMW,2006,80000,Petrol,Individual,Manual,First Owner,16.1,796,37,4,81000
Toyota,2017,30000,Diesel,Individual,Manual,First Owner,25.6,1498,97.9,5,1300000
Nissan,2017,33000,Diesel,Individual,Manual,First Owner,25.6,1498,97.9,5,1250000
BMW,2013,90000,Petrol,Individual,Manual,Third Owner,16.02,1373,93.7,7,535000
Toyota,2014,80100,Diesel,Individual,Manual,Second Owner,19.01,1461,108.5,5,555000
